index,message,true_label,stages_used,confidences,final_prediction,final_stage,cost,latency_ms
0,oh right ok i ll make sure that i do loads of work during the day got a really nasty cough today and is dry n shot so that should really help it,0,[1],{'stage1': 0.009918669738889906},0,1,0.0,12.358665466308594
1,s but he had some luck 2 catches put down,0,"[1, 2]","{'stage1': 0.03140160293959737, 'stage2': 0.14684212603794466}",0,2,0.0,8.968114852905273
2,1st wk free gr8 tones str8 2 u each wk txt nokia on to 8007 for classic nokia tones or hit on to 8007 for polys nokia 150p poly 200p 16,1,[1],{'stage1': 0.8874563410520411},1,1,0.0,8.736610412597656
3,you have won 1 000 cash or a 2 000 prize to claim call09050000327,1,[1],{'stage1': 0.8317308767736432},1,1,0.0,7.255792617797852
4,come aftr lt decimal gt now i m cleaning the house,0,[1],{'stage1': 0.027576118016147722},0,1,0.0,7.927179336547852
5,anytime lor,0,"[1, 2]","{'stage1': 0.05069056557301065, 'stage2': 0.20485265217243603, 'stage2_fallback': True}",0,2,0.0,11.93094253540039
6,am on my way,0,[1],{'stage1': 0.024714865897507026},0,1,0.0,7.355928421020508
7,hey gorgeous man my work mobile number is have a good one babe squishy mwahs,0,"[1, 2]","{'stage1': 0.04602150323964129, 'stage2': 0.32573692424527195, 'stage2_fallback': True}",0,2,0.0,10.081768035888672
8,hey mr and i are going to the sea view and having a couple of gays i mean games give me a bell when ya finish,0,"[1, 2]","{'stage1': 0.030794384026475535, 'stage2': 0.25582467485918303, 'stage2_fallback': True}",0,2,0.0,9.524822235107422
9,eh u remember how 2 spell his name yes i did he v naughty make until i v wet,0,[1],{'stage1': 0.02458851021016107},0,1,0.0,9.145736694335938
10,k k why cant you come here and search job,0,[1],{'stage1': 0.028580590761326862},0,1,0.0,7.18998908996582
11,ringtoneking 84484,1,"[1, 2]","{'stage1': 0.06329603294497951, 'stage2': 0.795082018901481, 'stage2_fallback': True}",1,2,0.0,11.104583740234375
12,nvm i m going to wear my sport shoes anyway i m going to be late leh,0,[1],{'stage1': 0.028346700352504754},0,1,0.0,5.749940872192383
13,no problem talk to you later,0,"[1, 2]","{'stage1': 0.04184874767062684, 'stage2': 0.23013535356655243, 'stage2_fallback': True}",0,2,0.0,11.416912078857422
14,dont search love let love find u thats why its called falling in love bcoz u dont force yourself u just fall and u know there is smeone to hold u bslvyl,0,"[1, 2]","{'stage1': 0.043736291452555656, 'stage2': 0.22493960011827482, 'stage2_fallback': True}",0,2,0.0,11.422872543334961
15,just taste fish curry p,0,"[1, 2]","{'stage1': 0.06766541820666647, 'stage2': 0.16268126691596704, 'stage2_fallback': True}",0,2,0.0,9.497404098510742
16,one of best dialogue in cute reltnship wen i die,0,"[1, 2]","{'stage1': 0.04122259581220969, 'stage2': 0.15027983792073576, 'stage2_fallback': True}",0,2,0.0,5.748510360717773
17,i cant wait to see you how were the photos were useful,0,"[1, 2]","{'stage1': 0.040989109246777886, 'stage2': 0.22134764267707294, 'stage2_fallback': True}",0,2,0.0,0.0
18,do u think that any girl will propose u today by seing ur bloody funky shit fucking face asssssholeeee,0,"[1, 2]","{'stage1': 0.0449440576076093, 'stage2': 0.18612327354116817, 'stage2_fallback': True}",0,2,0.0,23.724079132080078
19,derp which is worse a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with,0,"[1, 2]","{'stage1': 0.11124318392199914, 'stage2': 0.29308426410648186, 'stage2_fallback': True}",0,2,0.0,9.566783905029297
20,you give us back my id proof and lt gt rs we wont allow you to work we will come to your home within days,0,"[1, 2]","{'stage1': 0.03566858113710572, 'stage2': 0.2450385477957266, 'stage2_fallback': True}",0,2,0.0,9.586572647094727
21,so why didnt you holla,0,"[1, 2]","{'stage1': 0.039979391045000125, 'stage2': 0.15663585913593098, 'stage2_fallback': True}",0,2,0.0,9.49406623840332
22,nothing spl wat abt u and whr ru,0,"[1, 2]","{'stage1': 0.03472667203147532, 'stage2': 0.19570377610135967, 'stage2_fallback': True}",0,2,0.0,10.569334030151367
23,we tried to contact you re your reply to our offer of a video handset 750 anytime any networks mins unlimited text camcorder reply or call 08000930705 now,1,[1],{'stage1': 0.8218126789107069},1,1,0.0,7.75146484375
24,just sent it so what type of food do you like,0,[1],{'stage1': 0.01878032260619596},0,1,0.0,8.152961730957031
25,ya i m referin to mei s ex wat no ah waitin 4 u to treat somebody shld b rich liao so gd den u dun have to work frm tmr onwards,0,[1],{'stage1': 0.02820995032299329},0,1,0.0,7.751226425170898
26,oh yeah and my diet just flew out the window,0,[1],{'stage1': 0.025032378357365378},0,1,0.0,8.272886276245117
27,your opinion about me 1 over 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 not matured 8 stylish 9 simple pls reply,0,"[1, 2]","{'stage1': 0.08375290544037552, 'stage2': 0.268915877628742, 'stage2_fallback': True}",0,2,0.0,9.86170768737793
28,call me da i am waiting for your call,0,"[1, 2]","{'stage1': 0.20266858104721527, 'stage2': 0.15724220482188428, 'stage2_fallback': True}",0,2,0.0,9.673357009887695
29,its like that hotel dusk game i think you solve puzzles in a area thing,0,[1],{'stage1': 0.027279713662417198},0,1,0.0,7.490396499633789
30,hey what are you doing y no reply pa,0,"[1, 2]","{'stage1': 0.04259154776974851, 'stage2': 0.2554567541650568, 'stage2_fallback': True}",0,2,0.0,10.526418685913086
31,it s that time of the week again ryan,0,"[1, 2]","{'stage1': 0.04173915488984281, 'stage2': 0.18476384235556517, 'stage2_fallback': True}",0,2,0.0,10.312318801879883
32,you will be in the place of that man,0,"[1, 2]","{'stage1': 0.048360588424680516, 'stage2': 0.15977199673533904, 'stage2_fallback': True}",0,2,0.0,8.995532989501953
33,waiting for your call,0,[1],{'stage1': 0.5270842407090434},1,1,0.0,7.832527160644531
34,not for possession especially not first offense,0,"[1, 2]","{'stage1': 0.07290143072667686, 'stage2': 0.14978603105352503}",0,2,0.0,11.324644088745117
35,dear voucher holder 2 claim your 1st class airport lounge passes when using your holiday voucher call 08704439680 when booking quote 1st class x 2,1,[1],{'stage1': 0.3880243406032341},1,1,0.0,3.5190582275390625
36,k i ll head out in a few mins see you there,0,"[1, 2]","{'stage1': 0.03909278089492658, 'stage2': 0.13018729490765507}",0,2,0.0,15.632152557373047
37,is there coming friday is leave for pongal do you get any news from your work place,0,"[1, 2]","{'stage1': 0.0925899395415541, 'stage2': 0.11712404980634686}",0,2,0.0,8.997917175292969
38,congrats kano whr s the treat maga,0,"[1, 2]","{'stage1': 0.08090185272004362, 'stage2': 0.2615298836686013, 'stage2_fallback': True}",0,2,0.0,6.890058517456055
39,oh fine i ll be by tonight,0,[1],{'stage1': 0.028107103612978603},0,1,0.0,0.0
40,free any day but i finish at 6 on mon n thurs,0,"[1, 2]","{'stage1': 0.08562319201020173, 'stage2': 0.22612354499530604, 'stage2_fallback': True}",0,2,0.0,22.017478942871094
41,yo theres no class tmrw right,0,[1],{'stage1': 0.027678184693936878},0,1,0.0,7.751226425170898
42,v nice off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census busy transcribing,0,"[1, 2]","{'stage1': 0.03906014707182376, 'stage2': 0.42564476226542197, 'stage2_fallback': True}",0,2,0.0,1.9044876098632812
43,yes please leave at lt gt so that at lt gt we can leave,0,[1],{'stage1': 0.009471466223446983},0,1,0.0,15.738725662231445
44,get ur 1st ringtone free now reply to this msg with tone gr8 top 20 tones to your phone every week just 1 50 per wk 2 opt out send stop 08452810071 16,1,[1],{'stage1': 0.9678700338915933},1,1,0.0,6.969451904296875
45,they are just making it easy to pay back i have lt gt yrs to say but i can pay back earlier you get,0,"[1, 2]","{'stage1': 0.0359865075530897, 'stage2': 0.26315054415295647, 'stage2_fallback': True}",0,2,0.0,9.128093719482422
46,i will be gentle princess we will make sweet gentle love,0,"[1, 2]","{'stage1': 0.05423775860826985, 'stage2': 0.19146418172986712, 'stage2_fallback': True}",0,2,0.0,15.21444320678711
47,urgent your mobile no was awarded a 2 000 bonus caller prize on 02 09 03 this is our 2nd attempt to contact you call 0871 872 9755 box95qu,1,[1],{'stage1': 0.8224193232619628},1,1,0.0,0.0
48,i don t run away frm u i walk slowly amp it kills me that u don t care enough to stop me,0,"[1, 2]","{'stage1': 0.04128616291817834, 'stage2': 0.17507148109935972, 'stage2_fallback': True}",0,2,0.0,17.786502838134766
49,no am working on the ringing u thing but have whole houseful of screaming brats so am pulling my hair out loving u,0,[1],{'stage1': 0.024074676558777357},0,1,0.0,8.91733169555664
50,dear how you are you ok,0,[1],{'stage1': 0.01970000445801821},0,1,0.0,8.754253387451172
51,tell me pa how is pain de,0,[1],{'stage1': 0.020233240678635866},0,1,0.0,7.314443588256836
52,yes it s all innocent fun o,0,"[1, 2]","{'stage1': 0.04185599517217761, 'stage2': 0.21740408185822, 'stage2_fallback': True}",0,2,0.0,8.754253387451172
53,lol you forgot it eh yes i ll bring it in babe,0,[1],{'stage1': 0.016502697611908524},0,1,0.0,0.0
54,this phone has the weirdest auto correct,0,"[1, 2]","{'stage1': 0.14464724651413727, 'stage2': 0.2505481942490153, 'stage2_fallback': True}",0,2,0.0,21.284103393554688
55,fffff can you text kadeem or are you too far gone,0,"[1, 2]","{'stage1': 0.08445473090075985, 'stage2': 0.48259082874748455, 'stage2_fallback': True}",0,2,0.0,9.561538696289062
56,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune,0,"[1, 2]","{'stage1': 0.234888962249259, 'stage2': 0.268939458690125, 'stage2_fallback': True}",0,2,0.0,2.004384994506836
57,in e msg jus now u said thanks for gift,0,"[1, 2]","{'stage1': 0.19644532135595283, 'stage2': 0.2563452529699885, 'stage2_fallback': True}",0,2,0.0,15.930652618408203
58,mind blastin no more tsunamis will occur from now on rajnikant stopped swimming in indian ocean d,0,"[1, 2]","{'stage1': 0.16477654003472428, 'stage2': 0.27420128350791245, 'stage2_fallback': True}",0,2,0.0,10.549783706665039
59,cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor then he started guessing who i was wif n he finally guessed darren lor,0,[1],{'stage1': 0.023223273336114594},0,1,0.0,9.676694869995117
60,in xam hall boy asked girl tell me the starting term for dis answer i can den manage on my own after lot of hesitation n lookin around silently she said the intha ponnungale ipaditan,0,[1],{'stage1': 0.025616530772446973},0,1,0.0,8.30388069152832
61,i love u 2 babe r u sure everything is alrite is he being an idiot txt bak girlie,0,"[1, 2]","{'stage1': 0.11841832204133144, 'stage2': 0.2174911099028147, 'stage2_fallback': True}",0,2,0.0,8.200407028198242
62,just finished missing you plenty,0,"[1, 2]","{'stage1': 0.04806190289972297, 'stage2': 0.14295386330991336}",0,2,0.0,10.525703430175781
63,dunno he jus say go lido same time 930,0,[1],{'stage1': 0.021001078952610993},0,1,0.0,7.439374923706055
64,aathi where are you dear,0,[1],{'stage1': 0.026596145420412283},0,1,0.0,8.4686279296875
65,urgent your mobile no was awarded a 2 000 bonus caller prize on 1 08 03 this is our 2nd attempt to contact you call 0871 4719 523 box95qu bt national rate,1,[1],{'stage1': 0.8607474831382855},1,1,0.0,9.382486343383789
66,no need to ke qi too bored izzit y suddenly thk of this,0,"[1, 2]","{'stage1': 0.05198191772585918, 'stage2': 0.21453859738968709, 'stage2_fallback': True}",0,2,0.0,7.037162780761719
